toreorder,SubjectID,study,ageinmonths,ageinyears,gender,ChildRace_raw,ChildRace,placetested,ChildLang,childspeakers,MothersEdu,daycare/school,siblings,Network Size,NetworkRaceEntropy,RaceEIindex,RaceEIindex_detailedbiracial,LangEntropy_perlang,LangEntropy_percategory,LangEIIndex,NumKin,PropKin,NumAdults,PropAdult,NumChild (total - adult),PropChild,NumHighIntense,NumLowIntense,PropHighIntense,PropLowIntense,NumContexts,groupnodefordaycareteachers+kids,componentratio,Density,NeighorRaceDiv,zipcode,zipcode_og,city,county,suburban/urban,white_zipcode,black_zipcode,americanindian_zipcode,asian_zipcode,nativehawaiian_zipcode,hispanic_zipcode,some_other_race_zipcode,two_or_more_zipcode,NeighborLangDiv,percent_nonenglish,percent_englishonly,percent_spanish_speaking,percent_IndoEuropean_speaking,percent_AsianPacific_speaking,percent_otherlang_speaking,familycomp_raceentro,schoolcomp_raceentro,extra1comp_raceentro,extra2comp_raceentro,extra3comp_raceentro,extra4comp_raceentro,extra5comp_raceentro,median_income
53,Attn34,Attention,21.25,1.77,Male,Biracial/Multiracial,Mixed/Biracial,lab,English,monolingual,Bachelor,no,only,9,0.503258335,1,NA,0.721928095,1.392147224,-0.6,9,1.00,8,0.888888889,1,0.11,NA,NA,NA,NA,1,,0,NA,1.776802833,60608,60608,"Chicago, IL",Cook County,urban,0.191,0.172,0.001,0.12,0,0.507,0.001,0.015,1.524042108,0.558,0.442,0.432,0.018,0.103,0.005,NA,NA,NA,NA,NA,NA,NA,50133
54,Attn35,Attention,20.53,1.71,Female,Black or African-American,African or African-American,lab,English,monolingual,Post-Graduate,yes,only,11,1.572623664,0.272727273,0.272727273,0.918295834,0.918295834,-0.333333333,4,0.36,8,0.727272727,3,0.27,2,9,0.181818182,0.818181818,3,,0.2,NA,1.776802833,60608,60608,"Chicago, IL",Cook County,urban,0.191,0.172,0.001,0.12,0,0.507,0.001,0.015,1.524042108,0.558,0.442,0.432,0.018,0.103,0.005,NA,NA,NA,NA,NA,NA,NA,50133
55,Attn36,Attention,20.66,1.72,Male,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,Post-Graduate,no,only,8,0,-1,-1,0.543564443,0.543564443,-0.75,7,0.88,6,0.75,2,0.25,3,5,0.375,0.625,1,,0,NA,1.776802833,60608,60608,"Chicago, IL",Cook County,urban,0.191,0.172,0.001,0.12,0,0.507,0.001,0.015,1.524042108,0.558,0.442,0.432,0.018,0.103,0.005,NA,NA,NA,NA,NA,NA,NA,50133
56,Attn37,Attention,21.45,1.79,Female,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,Some college,no,sibling,9,0,-1,-1,1.664497779,1.75,-0.714285714,9,1.00,6,0.666666667,3,0.33,1,7,0.125,0.875,1,,0,NA,1.148419933,60629,60629,"Chicago, IL",Cook County,urban,0.082,0.195,0,0.004,0,0.71,0.001,0.015,1.096793931,0.67,0.33,0.644,0.021,0.002,0.003,NA,NA,NA,NA,NA,NA,NA,43506
57,Attn38,Attention,19.8,1.65,Male,Biracial/Multiracial,Mixed/Biracial,lab,"English, Spanish",multilingual,Associates,yes,sibling,9,1.224394445,0.555555556,NA,0.503258335,0.503258335,-1,4,0.44,7,0.777777778,2,0.22,3,6,0.333333333,0.666666667,2,,0.125,NA,1.639794847,60609,60609,"Chicago, IL",Cook County,urban,0.149,0.243,0,0.063,0,0.534,0,0.021,1.361345831,0.536,0.464,0.466,0.013,0.054,0.003,NA,NA,NA,NA,NA,NA,NA,37353
58,Attn39,Attention,19.8,1.65,Male,Black or African-American,African or African-American,lab,NA,NA,Post-Graduate,yes,only,7,0.591672779,-0.714285714,-0.714285714,0,0,NA,3,0.43,6,0.857142857,1,0.14,3,4,0.428571429,0.571428571,2,,0.166666667,NA,0.447493869,60649,60649,"Chicago, IL",Cook County,urban,0.029,0.926,0.002,0.004,0,0.026,0.001,0.025,0.457078936,0.064,0.936,0.027,0.018,0.004,0.015,NA,NA,NA,NA,NA,NA,NA,31921
59,Attn4,Attention,21.25,1.77,Female,White or European-American,European or White-American,lab,"English, Spanish",multilingual,Post-Graduate,yes,only,7,0.591672779,-0.714285714,-0.714285714,1.148834854,0.863120569,-0.714285714,5,0.71,6,0.857142857,1,0.14,4,3,0.571428571,0.428571429,2,,0.166666667,NA,1.33259607,60304,60304,"Oak Park, IL",Cook County,suburban/rural,0.665,0.147,0,0.042,0,0.096,0.002,0.096,0.752643092,0.125,0.875,0.06,0.035,0.025,0.005,NA,NA,NA,NA,NA,NA,NA,115374
60,Attn40,Attention,20.86,1.74,Male,Asian or Asian-American,Asian or Asian-American,lab,"English, 2 languages",multilingual,Post-Graduate,no,only,5,0.970950594,0.2,0.2,0.811278124,0.811278124,-1,4,0.80,5,1,0,0.00,1,2,0.333333333,0.666666667,1,,0,NA,1.510929004,60642,60642,"Chicago, IL",Cook County,urban,0.6,0.101,0,0.07,0,0.202,0,0.054,1.062583772,0.227,0.773,0.15,0.052,0.023,0.002,NA,NA,NA,NA,NA,NA,NA,112241
61,Attn41,Attention,20.79,1.73,Male,Black or African-American,African or African-American,lab,English,monolingual,High School Degree or GED,no,sibling,6,0,-1,-1,0,0,-1,6,1.00,3,0.5,3,0.50,3,3,0.5,0.5,1,,0,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
62,Attn42,Attention,19.87,1.66,Female,White or European-American,European or White-American,lab,English,monolingual,Bachelor,no,only,8,1.298794941,-0.25,-0.25,0.591672779,0.591672779,-0.714285714,2,0.25,5,0.625,3,0.38,2,6,0.25,0.75,3,,0.285714286,NA,1.433652399,60618,60618,"Chicago, IL",Cook County,urban,0.483,0.021,0,0.061,0.001,0.404,0.003,0.054,1.48636035,0.452,0.548,0.345,0.061,0.038,0.008,NA,NA,NA,NA,NA,NA,NA,78704
63,Attn45,Attention,20.2,1.68,Female,Black or African-American,African or African-American,lab,English,monolingual,Post-Graduate,yes,only,9,1.530493057,0.111111111,0.111111111,0,0.503258335,-1,6,0.67,8,0.888888889,1,0.11,4,5,0.444444444,0.555555556,2,,0.125,NA,1.223112138,60613,60613,"Chicago, IL",Cook County,urban,0.73,0.057,0.004,0.066,0,0.113,0.001,0.058,1.119037213,0.21,0.79,0.081,0.078,0.028,0.023,NA,NA,NA,NA,NA,NA,NA,84318
64,Attn46,Attention,20.16,1.68,Female,Black or African-American,African or African-American,lab,NA,NA,Bachelor,no,sibling,9,0,-1,-1,0,0,NA,9,1.00,6,0.666666667,3,0.33,4,5,0.444444444,0.555555556,1,,0,NA,1.540879888,60406,60406,"Blue Island, IL",Cook County,suburban/rural,0.202,0.269,0.001,0.004,0,0.504,0.003,0.034,1.118351101,0.422,0.578,0.402,0.015,0.001,0.004,NA,NA,NA,NA,NA,NA,NA,47475
65,Attn48,Attention,19.57,1.63,Female,White or European-American,European or White-American,lab,English,monolingual,Bachelor,no,only,12,0.811278124,-0.5,-0.5,0.816689088,0.811278124,-0.666666667,8,0.67,12,1,0,0.00,3,8,0.272727273,0.727272727,2,,0.090909091,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
66,Attn5,Attention,21.22,1.77,Male,Black or African-American,African or African-American,lab,English,monolingual,Bachelor,yes,only,5,1.521928095,0.2,0.2,0,0,-1,2,0.40,3,0.6,2,0.40,2,3,0.4,0.6,2,yes,0.25,NA,0.558609433,60653,60653,"Chicago, IL",Cook County,urban,0.043,0.903,0.002,0.013,0,0.022,0.001,0.033,0.463608506,0.064,0.936,0.026,0.014,0.008,0.016,NA,NA,NA,NA,NA,NA,NA,31093
67,Attn6,Attention,20.72,1.73,Female,White or European-American,European or White-American,lab,English,monolingual,Associates,yes,only,4,0.811278124,-0.5,-0.5,0,0,-1,3,0.75,2,0.5,2,0.50,2,2,0.5,0.5,2,yes,0.333333333,NA,0.957880039,60457,60457,"Hickory Hills, IL",Cook County,suburban/rural,0.774,0.031,0.002,0.006,0.001,0.179,0,0.014,1.621088561,0.441,0.559,0.102,0.268,0.008,0.063,NA,NA,NA,NA,NA,NA,NA,65226
68,Attn7,Attention,21.32,1.78,Male,MISSING,Mixed/Biracial,lab,"English, Chinese, Japanese",multilingual,NA,yes,only,7,1.521928095,NA,NA,1,1,-1,2,0.29,6,0.857142857,1,0.14,2,5,0.285714286,0.714285714,4,,0.5,NA,1.368925246,60641,60641,"Chicago, IL",Cook County,urban,0.366,0.019,0.001,0.045,0,0.54,0.005,0.047,1.646187306,0.62,0.38,0.465,0.106,0.032,0.017,NA,NA,NA,NA,NA,NA,NA,63545
69,Attn8,Attention,21.35,1.78,Female,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Portugese, Spanish",multilingual,High School Degree or GED,yes,sibling,6,0.918295834,-0.333333333,-0.333333333,1.370950594,0.721928095,-1,3,0.50,3,0.5,3,0.50,2,4,0.333333333,0.666666667,3,yes,0.4,NA,1.085086964,60623,60623,"Chicago, IL",Cook County,urban,0.029,0.304,0.001,0.001,0,0.661,0,0.008,1.003562028,0.61,0.39,0.606,0.002,0,0.002,NA,NA,NA,NA,NA,NA,NA,32460
70,Attn9,Attention,20.49,1.71,Male,Black or African-American,African or African-American,lab,NA,NA,Bachelor,yes,sibling,9,0.503258335,-0.777777778,-0.777777778,0.863120569,0.918295834,NA,8,0.89,9,1,0,0.00,7,2,0.777777778,0.222222222,2,,0.125,NA,0.428952164,60628,60628,"Chicago, IL",Cook County,urban,0.019,0.932,0.001,0.002,0,0.034,0.004,0.016,0.343729623,0.049,0.951,0.035,0.008,0.002,0.004,NA,NA,NA,NA,NA,NA,NA,41169
71,AttnPilot25,AttentionPilot,20.82,1.74,Male,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,no,sibling,5,0,-1,-1,0.918295834,0.918295834,-0.333333333,4,0.80,2,0.4,3,0.60,NA,NA,NA,NA,2,,0.25,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
72,AttnPilot32,AttentionPilot,20.39,1.70,Female,MISSING,European or White-American,lab,English,monolingual,NA,yes,only,5,0.721928095,NA,NA,0,0,-1,3,0.60,4,0.8,1,0.20,2,3,0.4,0.6,2,,0.25,NA,1.438420438,60647,60647,"Chicago, IL",Cook County,urban,0.443,0.054,0.001,0.03,0,0.448,0.001,0.045,1.199690563,0.375,0.625,0.333,0.026,0.01,0.006,NA,NA,NA,NA,NA,NA,NA,78413
73,AttnPilot34,AttentionPilot,20.89,1.74,Male,Biracial/Multiracial,Mixed/Biracial,lab,English,monolingual,Post-Graduate,no,only,4,0.811278124,1,NA,1.5,1,0,2,0.50,2,0.5,2,0.50,2,2,0.5,0.5,3,,0.666666667,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
74,AttnPilot35,AttentionPilot,20.89,1.74,Female,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,yes,sibling,5,0,-1,-1,0.970950594,0.970950594,-0.2,3,0.60,4,0.8,1,0.20,3,2,0.6,0.4,3,,0.5,NA,0.978618129,60614,60614,"Chicago, IL",Cook County,urban,0.796,0.039,0,0.074,0,0.061,0.001,0.058,0.837390458,0.141,0.859,0.04,0.062,0.029,0.01,NA,NA,NA,NA,NA,NA,NA,117138
75,AttnPilot38,AttentionPilot,20.49,1.71,Male,MISSING,European or White-American,lab,English,monolingual,NA,no,sibling,8,0,NA,NA,0.650022422,0.650022422,-0.666666667,6,0.75,3,0.375,5,0.63,3,5,0.375,0.625,2,,0.142857143,NA,1.540879888,60406,60406,"Blue Island, IL",Cook County,suburban/rural,0.202,0.269,0.001,0.004,0,0.504,0.003,0.034,1.118351101,0.422,0.578,0.402,0.015,0.001,0.004,NA,NA,NA,NA,NA,NA,NA,47475
76,AttnPilot40,AttentionPilot,20.39,1.70,Female,White or European-American,European or White-American,lab,"English, Spanish",multilingual,Post-Graduate,yes,only,3,0,-1,-1,0.918295834,0.918295834,-1,2,0.67,2,0.666666667,1,0.33,3,0,1,0,3,yes,1,NA,1.433652399,60618,60618,"Chicago, IL",Cook County,urban,0.483,0.021,0,0.061,0.001,0.404,0.003,0.054,1.48636035,0.452,0.548,0.345,0.061,0.038,0.008,NA,NA,NA,NA,NA,NA,NA,78704
77,AttnPilot43,AttentionPilot,21.45,1.79,Male,Biracial/Multiracial,Mixed/Biracial,lab,"English, Spanish, Mandarin, Japanese, Tagalog, French",multilingual,Bachelor,yes,sibling,6,0.650022422,1,NA,2.251629167,0.918295834,-1,3,0.50,4,0.666666667,2,0.33,5,1,0.833333333,0.166666667,2,,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,AttnPilot45,AttentionPilot,21.48,1.79,Female,Biracial/Multiracial,Mixed/Biracial,lab,"English, Tagalog",multilingual,Post-Graduate,yes,sibling,6,1.584962501,1,NA,1.459147917,1,-0.666666667,5,0.83,5,0.833333333,1,0.17,5,1,0.833333333,0.166666667,2,yes,0.2,NA,0.949567718,60657,60657,"Chicago, IL",Cook County,urban,0.805,0.025,0.001,0.069,0.001,0.07,0.001,0.057,0.866234175,0.146,0.854,0.049,0.053,0.033,0.011,NA,NA,NA,NA,NA,NA,NA,95173
79,AttnPilot46,AttentionPilot,19.8,1.65,Male,Black or African-American,African or African-American,lab,English,monolingual,NA,yes,sibling,7,0,-1,-1,0.863120569,0.863120569,-0.428571429,5,0.71,2,0.285714286,5,0.71,5,2,0.714285714,0.285714286,3,yes,0.333333333,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
80,AttnPilot47,AttentionPilot,19.7,1.64,Male,Biracial/Multiracial,Mixed/Biracial,lab,English,monolingual,NA,yes,only,5,1.5,0.5,NA,0,0,-1,3,0.60,4,0.8,1,0.20,3,2,0.6,0.4,2,yes,0.25,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
81,AttnPilot48,AttentionPilot,22.93,1.91,Female,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,Bachelor,yes,only,3,0.918295834,-0.333333333,-0.333333333,1,0.918295834,NA,2,0.67,2,0.666666667,1,0.33,3,0,1,0,3,yes,1,NA,1.639794847,60609,60609,"Chicago, IL",Cook County,urban,0.149,0.243,0,0.063,0,0.534,0,0.021,1.361345831,0.536,0.464,0.466,0.013,0.054,0.003,NA,NA,NA,NA,NA,NA,NA,37353
82,AttnPilot49,AttentionPilot,20.16,1.68,Male,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,no,only,6,0.721928095,-0.6,-0.6,0.650022422,0.650022422,-0.666666667,4,0.67,4,0.666666667,2,0.33,2,4,0.333333333,0.666666667,2,,0.2,NA,1.438420438,60647,60647,"Chicago, IL",Cook County,urban,0.443,0.054,0.001,0.03,0,0.448,0.001,0.045,1.199690563,0.375,0.625,0.333,0.026,0.01,0.006,NA,NA,NA,NA,NA,NA,NA,78413
83,AttnPilot50,AttentionPilot,19.64,1.64,Female,White or European-American,European or White-American,lab,"English, French, Spanish",multilingual,Bachelor,no,only,5,0.970950594,-0.2,-0.2,1.921928095,1.521928095,-1,2,0.40,3,0.6,2,0.40,2,3,0.4,0.6,2,,0.25,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
84,AttnPilot51,AttentionPilot,20.26,1.69,Male,MISSING,NA,lab,English,monolingual,NA,yes,sibling,5,1.370950594,NA,NA,0,0,-1,3,0.60,3,0.6,2,0.40,NA,NA,NA,NA,2,,0.25,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
85,AttnPilot52,AttentionPilot,19.61,1.63,Male,White or European-American,European or White-American,lab,"English, French, Spanish",multilingual,Post-Graduate,yes,only,6,1,0,0,2.251629167,0,0,3,0.50,4,0.666666667,2,0.33,3,3,0.5,0.5,,yes,-0.2,NA,1.639794847,60609,60609,"Chicago, IL",Cook County,urban,0.149,0.243,0,0.063,0,0.534,0,0.021,1.361345831,0.536,0.464,0.466,0.013,0.054,0.003,NA,NA,NA,NA,NA,NA,NA,37353
86,AttnPilot53,AttentionPilot,21.15,1.76,Male,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,yes,sibling,5,1.370950594,-0.2,-0.2,1.521928095,0.970950594,0.2,4,0.80,4,0.8,1,0.20,5,0,1,0,2,,0.25,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
87,P12-BT/Attn19,BT+Attention,20.72,1.73,Female,White or European-American,European or White-American,lab,"English, German",multilingual,Post-Graduate,yes,sibling,7,0.591672779,-0.714285714,-0.714285714,0.863120569,0.863120569,-1,4,0.57,6,0.857142857,1,0.14,3,4,0.428571429,0.571428571,4,,0.5,NA,1.543162189,60201,60201,"Evanston, IL",Cook County,suburban/rural,0.622,0.129,0,0.118,0.001,0.099,0.004,0.054,1.199919752,0.233,0.767,0.078,0.057,0.085,0.013,NA,NA,NA,NA,NA,NA,NA,78250
88,P15-BT/Attn24,BT+Attention,20.86,1.74,Male,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,yes,only,5,0.721928095,-0.6,-0.6,0.721928095,0.811278124,-0.6,2,0.40,4,0.8,1,0.20,3,2,0.6,0.4,2,,0.25,NA,1.223112138,60613,60613,"Chicago, IL",Cook County,urban,0.73,0.057,0.004,0.066,0,0.113,0.001,0.058,1.119037213,0.21,0.79,0.081,0.078,0.028,0.023,NA,NA,NA,NA,NA,NA,NA,84318
89,P17-BT/Attn28,BT+Attention,19.74,1.65,Female,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,yes,only,5,0.811278124,-0.5,-0.5,0,0.811278124,-1,3,0.60,4,0.8,1,0.20,3,2,0.6,0.4,2,,0.25,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
90,P5-BT/Attn 15,BT+Attention,20.23,1.69,Female,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,yes,only,4,1,0,0,0.811278124,0.811278124,-0.5,2,0.50,3,0.75,1,0.25,2,2,0.5,0.5,2,,0.333333333,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
91,P7-BT/Attn23,BT+Attention,19.97,1.66,Female,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,yes,only,4,1.5,0,0,0.918295834,0.918295834,-0.333333333,2,0.50,3,0.75,1,0.25,3,1,0.75,0.25,2,,0.333333333,NA,1.586829898,60605,60605,"Chicago, IL",Cook County,urban,0.573,0.165,0.001,0.161,0,0.058,0.003,0.076,1.165396762,0.224,0.776,0.04,0.086,0.082,0.016,NA,NA,NA,NA,NA,NA,NA,111438
92,P8-BT/Attn26,BT+Attention,20.13,1.68,Male,White or European-American,European or White-American,lab,English,monolingual,Bachelor,yes,only,7,0.985228136,0.142857143,0.142857143,0,1,-1,3,0.43,6,0.857142857,1,0.14,3,4,0.428571429,0.571428571,2,,0.166666667,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
93,S_40 ,Scaff,23.1,1.93,Male,Biracial/Multiracial,Mixed/Biracial,lab,"English, German",multilingual,Bachelor,yes,only,4,1.5,1,NA,0.811278124,0.811278124,-1,2,0.50,4,1,0,0.00,2,2,0.5,0.5,2,yes,0.333333333,NA,0.277571164,60619,60619,"Chicago, IL",Cook County,urban,0.014,0.956,0,0.003,0,0.014,0.002,0.021,0.273912121,0.034,0.966,0.015,0.008,0.002,0.009,NA,NA,NA,NA,NA,NA,NA,35629
94,S_41,Scaff,22.17,1.85,Male,White or European-American,European or White-American,lab,"English, Spanish",multilingual,Bachelor,yes,only,9,1.224394445,-0.333333333,-0.333333333,0.764204507,0.764204507,-1,6,0.67,6,0.666666667,3,0.33,2,7,0.222222222,0.777777778,3,,0.25,NA,1.564052445,60130,60130,"Forest Park, IL",Cook County,suburban/rural,0.55,0.266,0.001,0.082,0,0.073,0,0.056,0.950357691,0.164,0.836,0.047,0.043,0.059,0.015,NA,NA,NA,NA,NA,NA,NA,62664
95,S_42,Scaff,25.67,2.14,Female,White or European-American,European or White-American,lab,NA,NA,Post-Graduate,yes,sibling,10,0.468995594,-0.8,-0.8,0,0,NA,7,0.70,6,0.6,4,0.40,3,7,0.3,0.7,2,,0.111111111,NA,0.859452735,60631,60631,"Chicago, IL",Cook County,urban,0.821,0.015,0.001,0.029,0,0.107,0.004,0.046,1.005946485,0.206,0.794,0.059,0.129,0.013,0.005,NA,NA,NA,NA,NA,NA,NA,93989
96,S_43,Scaff,22.3,1.86,Female,Hispanic or Latino-American,Hispanic or Latino-American,lab,Spanish,monolingual,Post-Graduate,yes,only,3,0,-1,-1,0.918295834,0.918295834,-0.333333333,2,0.67,2,0.666666667,1,0.33,2,1,0.666666667,0.333333333,2,yes,0.5,NA,1.692340291,60607,60607,"Chicago, IL",Cook County,urban,0.522,0.144,0,0.225,0,0.083,0.002,0.048,1.186682418,0.239,0.761,0.047,0.073,0.112,0.007,NA,NA,NA,NA,NA,NA,NA,102726
97,S_44,Scaff,22.4,1.87,Male,Asian or Asian-American,Asian or Asian-American,lab,English,monolingual,Post-Graduate,no,only,5,0.970950594,0.2,0.2,0.721928095,0.721928095,-0.6,5,1.00,4,0.8,1,0.20,3,2,0.6,0.4,1,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,S_45,Scaff,23.9,1.99,Male,Black or African-American,African or African-American,lab,English,monolingual,Post-Graduate,yes,sibling,7,0,-1,-1,1.448815636,0.985228136,0.142857143,6,0.86,5,0.714285714,2,0.29,3,4,0.428571429,0.571428571,1,yes,0,NA,0.380438057,60621,60621,"Chicago, IL",Cook County,urban,0.011,0.943,0.001,0.003,0,0.037,0.002,0.006,0.312555616,0.044,0.956,0.032,0.002,0.002,0.008,NA,NA,NA,NA,NA,NA,NA,22158
99,S_46,Scaff,23.1,1.93,Female,Asian or Asian-American,Asian or Asian-American,lab,"English, Bengali",multilingual,Post-Graduate,yes,only,7,0.591672779,-0.714285714,-0.714285714,1.556656707,0.985228136,-1,6,0.86,6,0.857142857,1,0.14,2,5,0.285714286,0.714285714,2,yes,0.166666667,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
100,S_47,Scaff,23.27,1.94,Female,Black or African-American,African or African-American,lab,NA,NA,Associates,yes,sibling,6,0,-1,-1,NA,NA,NA,5,0.83,4,0.666666667,2,0.33,2,4,0.333333333,0.666666667,2,yes,0.2,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
101,S_48,Scaff,24.57,2.05,Male,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,Post-Graduate,yes,only,7,0.985228136,0.142857143,0.142857143,1.448815636,1.448815636,-1,5,0.71,4,0.571428571,3,0.43,3,4,0.428571429,0.571428571,1,,0,NA,1.433652399,60618,60618,"Chicago, IL",Cook County,urban,0.483,0.021,0,0.061,0.001,0.404,0.003,0.054,1.48636035,0.452,0.548,0.345,0.061,0.038,0.008,NA,NA,NA,NA,NA,NA,NA,78704
102,S_49,Scaff,25.03,2.09,Female,Hispanic or Latino-American,Hispanic or Latino-American,lab,"English, Spanish",multilingual,Bachelor,yes,only,5,0,-1,-1,1,1,-1,4,0.80,3,0.6,2,0.40,2,3,0.4,0.6,2,yes,0.25,NA,1.776802833,60608,60608,"Chicago, IL",Cook County,urban,0.191,0.172,0.001,0.12,0,0.507,0.001,0.015,1.524042108,0.558,0.442,0.432,0.018,0.103,0.005,NA,NA,NA,NA,NA,NA,NA,50133
103,S_50,Scaff,23.67,1.97,Female,Asian or Asian-American,Asian or Asian-American,lab,"English, Chinese",multilingual,Post-Graduate,yes,only,6,1,0,0,1.918295834,0.918295834,-0.333333333,3,0.50,3,0.5,3,0.50,3,3,0.5,0.5,3,yes,0.4,NA,1.586829898,60605,60605,"Chicago, IL",Cook County,urban,0.573,0.165,0.001,0.161,0,0.058,0.003,0.076,1.165396762,0.224,0.776,0.04,0.086,0.082,0.016,NA,NA,NA,NA,NA,NA,NA,111438
104,S_51,Scaff,23.6,1.97,Male,White or European-American,European or White-American,lab,NA,NA,Some college,no,sibling,5,0,-1,-1,NA,NA,NA,5,1.00,4,0.8,1,0.20,4,1,0.8,0.2,1,,0,NA,1.416271361,60302,60302,"Oak Park, IL",Cook County,suburban/rural,0.629,0.194,0,0.049,0,0.08,0.004,0.087,0.762446036,0.124,0.876,0.054,0.039,0.019,0.012,NA,NA,NA,NA,NA,NA,NA,89533
105,S_52,Scaff,24.73,2.06,Male,White or European-American,European or White-American,lab,English,monolingual,Post-Graduate,yes,sibling,6,0,-1,-1,0,0,-1,4,0.67,3,0.5,3,0.50,4,2,0.666666667,0.333333333,3,yes,0.4,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
106,S_53,Scaff,24.33,2.03,Male,White or European-American,European or White-American,lab,English,monolingual,Associates,no,sibling,7,0,-1,-1,0.591672779,0.591672779,-0.714285714,6,0.86,6,0.857142857,1,0.14,3,4,0.428571429,0.571428571,2,,0.166666667,NA,0.949567718,60657,60657,"Chicago, IL",Cook County,urban,0.805,0.025,0.001,0.069,0.001,0.07,0.001,0.057,0.866234175,0.146,0.854,0.049,0.053,0.033,0.011,NA,NA,NA,NA,NA,NA,NA,95173
